NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;DRR;QDRR;STATUS_FXI3S;STATUS_DXI3S
69008001;ANCY_SAPC;45.843333;4.508167;626;20260221;0.0;1;4.8;1;1801;9;11.0;1;1312;9;7.8;1;7.9;1;6.2;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260222;0.0;1;5.5;1;709;9;13.4;1;1418;9;8.4;1;9.5;1;7.9;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260223;0.8;1;5.7;1;35;9;11.8;1;1326;9;9.0;1;8.8;1;6.1;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260224;0.2;1;7.7;1;541;9;16.1;1;1452;9;10.3;1;11.9;1;8.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260225;0.2;1;7.7;1;554;9;16.1;1;1536;9;10.4;1;11.9;1;8.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260226;0.0;1;6.0;1;144;9;16.0;1;1538;9;10.6;1;11.0;1;10.0;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260227;0.0;1;5.9;1;733;9;17.5;1;1401;9;11.2;1;11.7;1;11.6;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260228;1.8;1;6.5;1;1726;9;8.7;1;702;9;7.1;1;7.6;1;2.2;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260301;0.0;1;4.6;1;502;9;13.1;1;1442;9;7.7;1;8.9;1;8.5;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260302;0.0;1;4.0;1;622;9;15.0;1;1246;9;8.9;1;9.5;1;11.0;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
