commune_depart_id;code_insee;commune_nom;groupe_commune;departement;pays;sources
INSEE_42123;42123;Lorette;Saint-Etienne Métropole;42;France;rpc_arrivee, rpc_depart
INSEE_42186;42186;Rive-de-Gier;Saint-Etienne Métropole;42;France;rpc_arrivee, rpc_depart
INSEE_42187;42187;Roanne;Communauté d'agglomération Roannais Agglomération;42;France;rpc_depart
INSEE_42207;42207;Saint-Chamond;Saint-Etienne Métropole;42;France;rpc_arrivee, rpc_depart
INSEE_42218;42218;Saint-Étienne;Saint-Etienne Métropole;42;France;rpc_arrivee, rpc_depart
INSEE_42225;42225;Genilac;Saint-Etienne Métropole;42;France;rpc_arrivee, rpc_depart
INSEE_42234;42234;Saint-Héand;Saint-Etienne Métropole;42;France;rpc_arrivee, rpc_depart
INSEE_42275;42275;Saint-Priest-en-Jarez;Saint-Etienne Métropole;42;France;rpc_arrivee, rpc_depart
INSEE_42302;42302;Sorbiers;Saint-Etienne Métropole;42;France;rpc_arrivee
INSEE_42305;42305;La Talaudière;Saint-Etienne Métropole;42;France;rpc_arrivee, rpc_depart
INSEE_43012;43012;Aurec-sur-Loire;Communauté de communes Loire et Semène;43;France;rpc_arrivee
INSEE_69003;69003;Albigny-sur-Saône;Métropole de Lyon;69;France;rpc_arrivee, rpc_depart
INSEE_69006;69006;Amplepuis;Communauté d'agglomération de l'Ouest Rhodanien;69;France;rpc_arrivee, rpc_depart
INSEE_69007;69007;Ampuis;Communauté d'agglomération Vienne Condrieu;69;France;rpc_arrivee, rpc_depart
INSEE_69009;69009;Anse;Communauté de communes Beaujolais Pierres Dorées;69;France;rpc_arrivee, rpc_depart
INSEE_69010;69010;L'Arbresle;Communauté de communes du Pays de l'Arbresle (CCPA);69;France;rpc_arrivee, rpc_depart
INSEE_69013;69013;Arnas;Communauté d'agglomération Villefranche Beaujolais Saône;69;France;rpc_arrivee, rpc_depart
INSEE_69019;69019;Belleville-en-Beaujolais;Communauté de communes Saône-Beaujolais;69;France;rpc_arrivee, rpc_depart
INSEE_69020;69020;Belmont-d'Azergues;Communauté de communes Beaujolais Pierres Dorées;69;France;rpc_arrivee, rpc_depart
INSEE_69021;69021;Bessenay;Communauté de communes du Pays de l'Arbresle (CCPA);69;France;rpc_arrivee, rpc_depart
INSEE_69023;69023;Blacé;Communauté d'agglomération Villefranche Beaujolais Saône;69;France;rpc_arrivee, rpc_depart
INSEE_69024;69024;Val d'Oingt;Communauté de communes Beaujolais Pierres Dorées;69;France;rpc_arrivee, rpc_depart
INSEE_69027;69027;Brignais;Communauté de communes de la Vallée du Garon (CCVG);69;France;rpc_arrivee, rpc_depart
INSEE_69028;69028;Brindas;Communauté de communes des Vallons du Lyonnais (CCVL);69;France;rpc_arrivee, rpc_depart
INSEE_69029;69029;Bron;Métropole de Lyon;69;France;chantiers, comptage_sites, rpc_arrivee, rpc_depart, stations_taxi
INSEE_69031;69031;Brussieu;Communauté de communes des Monts du Lyonnais;69;France;rpc_arrivee, rpc_depart
INSEE_69032;69032;Bully;Communauté de communes du Pays de l'Arbresle (CCPA);69;France;rpc_arrivee, rpc_depart
INSEE_69033;69033;Cailloux-sur-Fontaines;Métropole de Lyon;69;France;rpc_depart
INSEE_69034;69034;Caluire-et-Cuire;Métropole de Lyon;69;France;chantiers, comptage_sites, rpc_arrivee, rpc_depart, stations_taxi
INSEE_69040;69040;Champagne-au-Mont-d'Or;Métropole de Lyon;69;France;comptage_sites, rpc_arrivee, rpc_depart, stations_taxi
INSEE_69043;69043;Chaponost;Communauté de communes de la Vallée du Garon (CCVG);69;France;rpc_arrivee, rpc_depart
INSEE_69044;69044;Charbonnières-les-Bains;Métropole de Lyon;69;France;rpc_arrivee, rpc_depart, stations_taxi
INSEE_69046;69046;Charly;Métropole de Lyon;69;France;rpc_arrivee, rpc_depart
INSEE_69049;69049;Chasselay;Communauté de communes Beaujolais Pierres Dorées;69;France;rpc_arrivee, rpc_depart
INSEE_69050;69050;Châtillon;Communauté de communes Beaujolais Pierres Dorées;69;France;rpc_arrivee, rpc_depart
INSEE_69051;69051;Chaussan;Communauté de communes du Pays Mornantais (COPAMO);69;France;rpc_depart
INSEE_69052;69052;Chazay-d'Azergues;Communauté de communes Beaujolais Pierres Dorées;69;France;rpc_arrivee, rpc_depart
INSEE_69057;69057;Chevinay;Communauté de communes du Pays de l'Arbresle (CCPA);69;France;rpc_arrivee, rpc_depart
INSEE_69058;69058;Chiroubles;Communauté de communes Saône-Beaujolais;69;France;rpc_arrivee, rpc_depart
INSEE_69059;69059;Civrieux-d'Azergues;Communauté de communes Beaujolais Pierres Dorées;69;France;rpc_arrivee, rpc_depart
INSEE_69063;69063;Collonges-au-Mont-d'Or;Métropole de Lyon;69;France;rpc_arrivee, rpc_depart
INSEE_69064;69064;Condrieu;Communauté d'agglomération Vienne Condrieu;69;France;rpc_arrivee, rpc_depart
INSEE_69069;69069;Craponne;Métropole de Lyon;69;France;comptage_sites, rpc_arrivee, rpc_depart
INSEE_69070;69070;Cublize;Communauté d'agglomération de l'Ouest Rhodanien;69;France;rpc_arrivee
INSEE_69071;69071;Curis-au-Mont-d'Or;Métropole de Lyon;69;France;rpc_arrivee, rpc_depart
INSEE_69072;69072;Dardilly;Métropole de Lyon;69;France;chantiers, comptage_sites, rpc_arrivee, rpc_depart, stations_taxi
INSEE_69076;69076;Dommartin;Communauté de communes du Pays de l'Arbresle (CCPA);69;France;rpc_arrivee, rpc_depart
INSEE_69077;69077;Dracé;Communauté de communes Saône-Beaujolais;69;France;rpc_arrivee, rpc_depart
