commune_id;code_insee;commune_nom;groupe_commune;departement;pays;sources;region_libelle;departement_libelle;arrondissement_libelle;commune_libelle_insee;latitude;longitude;localisation_azure
INSEE_01386;01386;Saint-Sorlin-en-Bugey;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee;Auvergne-Rhône-Alpes;Ain;Belley;Saint-Sorlin-en-Bugey;45.88631691180274;5.369012832611382;ST SORLIN EN BUGEY, France
INSEE_01390;01390;Saint-Vulbas;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Belley;Saint-Vulbas;45.82335049540124;5.267026755219609;ST VULBAS, France
INSEE_01419;01419;Thoiry;Communauté d'agglomération du Pays de Gex;01;France;rpc_depart;Auvergne-Rhône-Alpes;Ain;Gex;Thoiry;46.24478529185883;5.968461349017439;THOIRY, France
INSEE_01424;01424;Tramoyes;Communauté de communes de Miribel et du Plateau;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Tramoyes;45.87420675026021;4.962383527805514;TRAMOYES, France
INSEE_01427;01427;Trévoux;Communauté de communes Dombes Saône Vallée;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Trévoux;45.939826638806544;4.771022973766515;TREVOUX, France
INSEE_01443;01443;Villars-les-Dombes;Communauté de communes de la Dombes;01;France;rpc_arrivee;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Villars-les-Dombes;46.00002847235105;5.044348130628995;VILLARS LES DOMBES, France
INSEE_01446;01446;Villeneuve;Communauté de communes Dombes Saône Vallée;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Villeneuve;46.034632864094334;4.85977710553048;VILLENEUVE, France
INSEE_01450;01450;Villieu-Loyes-Mollon;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Belley;Villieu-Loyes-Mollon;45.92896222052594;5.226515948645298;VILLIEU LOYES MOLLON, France
INSEE_07010;07010;Annonay;Communauté d'agglomération Annonay Rhône Agglo;07;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ardèche;Tournon-sur-Rhône;Annonay;45.24488842792516;4.641924747518317;ANNONAY, France
INSEE_07015;07015;Arras-sur-Rhône;CC Porte de DrômArdèche;07;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ardèche;Tournon-sur-Rhône;Arras-sur-Rhône;45.14296197122317;4.806857958610521;ARRAS SUR RHONE, France
