station_taxi_id;commune_id;fid;gid;nom;adresse;commune;code_insee;nb_emplacements;telephone_flag;separateur_taxi;abri_flag;panneau_flag;diodes_flag;totem_flag;observation;validite;longitude;latitude;geometrie_wkt
TAXI_360;INSEE_69389;pvo_patrimoine_voirie.pvostationtaxi.360;360;TAX902;Rue Roger Salengro;Lyon 9e Arrondissement;69389;5;0;Bordure granit;0;1;0;1;Station Gare de Vaise;Validé;4,803955534389671;45,779333095132536;POINT (4.803955534389671 45.779333095132536)
TAXI_979;INSEE_69388;pvo_patrimoine_voirie.pvostationtaxi.979;979;TAX803;Rue du Professeur Beauvisage;Lyon 8e Arrondissement;69388;5;0;Bordure granit;0;1;0;1;Station Beauvisage 1;Validé;4,867240517574232;45,72913788618268;POINT (4.867240517574232 45.72913788618268)
TAXI_971;INSEE_69387;pvo_patrimoine_voirie.pvostationtaxi.971;971;TAX707;16, Place Jean Macé;Lyon 7e Arrondissement;69387;10;0;Bordure granit;0;1;0;1;Station Jean Macé;Validé;4,841932850787033;45,74633541891336;POINT (4.841932850787033 45.74633541891336)
TAXI_4026;INSEE_69207;pvo_patrimoine_voirie.pvostationtaxi.4026;4026;TAXSGM01;1, Avenue de la Résistance;Saint-Germain-au-Mont-d'Or;69207;1;0;Peinture;0;1;0;0;Mairie;Validé;4,803189826625736;45,88318159272847;POINT (4.803189826625736 45.88318159272847)
TAXI_330;INSEE_69383;pvo_patrimoine_voirie.pvostationtaxi.330;330;TAX300;Place Rouget de L'Isle;Lyon 3e Arrondissement;69383;3;0;Bordure granit;0;1;0;0;Arrêté N°2019RP35576 du 20/05/2019 - Station Place Rouget de L'Isle;Validé;4,867300926051869;45,75437916894603;POINT (4.867300926051869 45.75437916894603)
TAXI_335;INSEE_69383;pvo_patrimoine_voirie.pvostationtaxi.335;335;TAX304;12, Boulevard Marius Vivier-Merle;Lyon 3e Arrondissement;69383;7;0;Bordure granit;0;0;1;1;Station Centre Commercial Part-Dieu;Validé;4,857676572306963;45,76209493686888;POINT (4.857676572306963 45.76209493686888)
TAXI_1284;INSEE_69029;pvo_patrimoine_voirie.pvostationtaxi.1284;1284;TAXBRO03;74, Avenue Ferdinand Buisson;Bron;69029;2;0;Bordure granit;0;0;0;0;;Validé;4,917214827743311;45,73797695782761;POINT (4.917214827743311 45.73797695782761)
TAXI_4049;INSEE_69266;pvo_patrimoine_voirie.pvostationtaxi.4049;4049;TAXVIL11;7, Rue Jean-Claude Vivant;Villeurbanne;69266;2;0;Peinture;0;0;0;0;Arrêté n°2021P0166 le 23/08/21;Validé;4,86821291297794;45,770468944610485;POINT (4.86821291297794 45.770468944610485)
TAXI_1633;INSEE_69385;pvo_patrimoine_voirie.pvostationtaxi.1633;1633;TAX505;3, Rue Joliot Curie;Lyon 5e Arrondissement;69385;4;0;Peinture;0;1;1;1;Arrêté n°2024RP45214 du 09/07/24 - Station Point Du Jour;Validé;4,7965737690656765;45,75624728908238;POINT (4.7965737690656765 45.75624728908238)
TAXI_4046;INSEE_69266;pvo_patrimoine_voirie.pvostationtaxi.4046;4046;TAXVIL09;59, Place Jules Grandclément;Villeurbanne;69266;3;0;Bordure granit;0;1;0;0;;Validé;4,891249106664006;45,75951536972771;POINT (4.891249106664006 45.75951536972771)
TAXI_328;INSEE_69382;pvo_patrimoine_voirie.pvostationtaxi.328;328;TAX207;1, Place des Jacobins;Lyon 2e Arrondissement;69382;6;0;Peinture;0;1;0;1;Arrêté n°2025RP46745 du 17/04/25;Validé;4,833702605393376;45,76078102125441;POINT (4.833702605393376 45.76078102125441)
TAXI_355;INSEE_69384;pvo_patrimoine_voirie.pvostationtaxi.355;355;TAX400;1, Rue Philibert Roussy;Lyon 4e Arrondissement;69384;3;0;Peinture;0;1;0;1;Station Roussy;Validé;4,821564608279897;45,77337054622072;POINT (4.821564608279897 45.77337054622072)
TAXI_1602;INSEE_69286;pvo_patrimoine_voirie.pvostationtaxi.1602;1602;TAXRIL01;Face 30, Avenue de l'Europe;Rillieux-la-Pape;69286;2;0;Peinture;0;1;0;0;;Validé;4,894405911392284;45,81458608721527;POINT (4.894405911392284 45.81458608721527)
TAXI_3969;INSEE_69143;pvo_patrimoine_voirie.pvostationtaxi.3969;3969;TAXNEU01;Quai Pasteur;Neuville-sur-Saône;69143;4;1;Peinture;1;1;0;0;;Validé;4,838321767931347;45,87626412847816;POINT (4.838321767931347 45.87626412847816)
TAXI_4012;INSEE_69116;pvo_patrimoine_voirie.pvostationtaxi.4012;4012;TAXLIM01;175, Allée des Noisetiers;Limonest;69116;1;0;Peinture;0;1;0;0;;Validé;4,775062803470624;45,81303106099729;POINT (4.775062803470624 45.81303106099729)
TAXI_359;INSEE_69389;pvo_patrimoine_voirie.pvostationtaxi.359;359;TAX901;Rue de la Pépinière Royale;Lyon 9e Arrondissement;69389;2;0;Autre;0;1;0;0;;Validé;4,805065467111246;45,76704190175367;POINT (4.805065467111246 45.76704190175367)
TAXI_1634;INSEE_69386;pvo_patrimoine_voirie.pvostationtaxi.1634;1634;TAX606;10, Quai Charles de Gaulle;Lyon 6e Arrondissement;69386;13;0;Peinture;0;1;0;1;Station Amphithéâtre;Validé;4,857790996078876;45,785672682452905;POINT (4.857790996078876 45.785672682452905)
TAXI_1281;INSEE_69029;pvo_patrimoine_voirie.pvostationtaxi.1281;1281;TAXBRO05;Avenue Doyen Jean Lépine;Bron;69029;5;1;Bordure granit;1;0;1;1;;Validé;4,9020298509620694;45,748744612283545;POINT (4.9020298509620694 45.748744612283545)
